100101,D
300101,R
400101,L
300101,D
500101,C
510100,U
310100,D
510100,U
310100,L
210100,C
210101,R
310101,L
210101,R
310101,R
410101,C
410101,L
310101,D
510101,C
510100,C
510100,U
310100,R
410100,L
310100,L
210100,R
310100,D
510100,U
310100,L
210100,C
210100,R
310100,R
410100,L
310100,R
410100,C
410100,L
310100,U
110100,C
100100,D
300100,D
500100,C
500100,C
500100,C
500100,U
300100,D
500100,U
300100,L
200100,R
300100,D
500100,C
500100,C
500100,U
300101,L
200101,R
300101,D
500101,C
500100,U
300100,C
300000,C
300000,U
100000,D
300000,L
200000,C
200000,R
300000,R
400000,L
300000,U
100000,C
100000,C
101000,C
101000,D
301000,U
101000,C
101000,C
101000,C
101000,D
301000,D
501000,U
301000,U
101000,D
301000,C
301000,C
301000,D
501000,C
501000,U
301000,D
501000,C
501000,C
501000,C
501000,U
301000,R
401000,C
401001,C
401001,L
301001,L
201001,C
200001,C
200001,C
200001,R
300001,L
200001,C
200001,C
200001,R
300011,L
200011,C
200011,C
200011,R
300011,R
400011,C
400001,C
400001,C
400001,L
300001,R
400001,C
400001,C
400001,C
400001,C
400001,L
301001,L
201001,C
200001,C
200001,C
200001,C
200001,R
300001,R
400001,L
300001,C
300001,D
501001,C
501000,C
501000,U
301010,L
201010,R
301010,L
201010,C
200010,C
200010,R
300010,D
500010,U
300010,U
100010,D
300010,C
300010,L
200010,C
200010,R
300010,L
200011,R
300011,D
500011,C
500010,U
300010,D
500010,C
500010,U
300010,D
500010,U
300010,U
100010,C
100010,C
100010,C
100010,D
300010,U
100010,D
300010,D
500010,U
300010,U
100011,D
300011,L
200011,C
200011,R
300011,U
100011,C
100011,C
100011,D
300011,L
200011,C
200011,R
300011,L
200011,C
200011,R
300011,C
300011,C
300011,C
300011,C
300011,R
400011,L
300011,L
200011,C
200011,R
300011,L
200011,R
300011,U
100011,D
301011,L
201011,R
301011,U
101011,C
101011,D
301011,L
201011,C
200011,R
300011,U
100011,D
300111,U
100111,D
300111,D
500111,U
300111,L
200111,C
200111,R
300111,R
400111,C
400101,L
300101,U
100101,D
300101,L
200101,C
200101,C
200101,C
200101,C
200101,R
300101,R
400101,L
300101,D
500101,U
300101,C
300001,U
101001,C
101001,D
301001,D
501001,U
301001,C
311001,U
111001,C
101001,C
101001,C
101001,D
301001,C
301001,C
301001,U
101001,C
101001,D
301001,R
401001,L
301001,L
201001,R
301001,U
101001,D
301001,U
101001,D
301001,D
501001,U
301001,U
101001,C
101001,C
101001,C
101001,C
101001,C
101001,D
301001,D
501001,U
301001,L
201001,R
301001,L
201011,R
301011,R
401011,L
301011,U
101011,D
301011,L
201011,C
200011,R
300011,R
400011,L
300011,U
100011,C
100011,C
100011,D
300011,C
300011,U
100011,D
300011,R
400011,L
300011,U
100011,D
300011,R
400011,L
300011,R
400011,L
300011,U
100011,D
300011,R
400011,C
400001,C
400011,C
400001,L
300001,R
400001,L
300001,R
400001,L
300001,C
300001,U
100001,C
100001,D
300001,R
400001,L
300001,C
300001,L
200001,R
300001,C
300001,U
100001,D
300001,R
400001,C
400001,C
400001,L
300001,U
100001,C
100001,C
100001,D
300001,L
200001,C
200001,C
200001,R
300001,L
200001,C
200001,C
200001,C
200001,R
300001,L
200001,R
300001,D
500001,U
300001,U
100001,C
100001,C
100001,D
300001,U
100001,D
300001,L
200001,R
300001,U
100001,D
300001,D
500001,C
500000,U
300000,C
300000,U
100000,D
300000,C
300000,D
500000,U
300000,U
100000,D
300000,L
200000,R
300000,L
200100,C
200100,R
300100,L
200100,C
200100,C
200100,C
200100,C
200100,C
200100,R
300100,C
300000,D
500000,U
300000,R
400000,L
300000,D
500000,U
300000,R
400000,L
300000,C
300000,R
400000,C
400000,L
300000,U
100001,D
300001,D
500001,C
500000,U
300000,C
300000,C
300000,R
400000,L
300000,C
300000,D
500000,U
300000,R
400000,C
400000,C
400000,C
400000,C
400000,C
400000,L
300000,U
100000,D
300000,D
500000,U
300000,R
400000,L
300000,D
500000,U
300100,C
300000,L
200000,R
300000,U
100000,C
100000,D
300000,C
300000,R
400000,C
400000,L
300000,R
400000,L
300000,U
100000,C
100000,C
100000,C
100000,D
300000,D
500000,C
500000,C
500000,U
300000,R
400000,C
400000,L
300100,R
400100,L
300110,U
100110,C
100110,C
100110,D
300110,D
500110,C
500110,C
500110,U
300110,D
500110,C
500110,U
300110,D
500110,U
300110,C
300010,R
400010,C
400000,L
300000,U
100000,C
100000,C
100000,D
300000,C
300000,R
400000,C
400000,L
300000,L
200000,R
300000,L
200000,R
300000,R
400000,C
400000,L
300000,C
300000,D
500000,U
301000,C
301000,R
401000,C
401000,L
301010,C
301010,U
101010,D
301010,C
301010,U
101010,C
101010,D
301010,R
401110,L
301110,D
501110,C
501110,C
501110,C
501110,U
301110,R
